indicator_id,indicator_label,area_code,area_name,area_type,sex,age,year,value,lower_ci,upper_ci,count,denominator,compared_to_england
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2001,459.17928,401.74935,522.33333,244,72613,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2001,317.87609,271.56007,369.7126,174,71783,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2001,387.33597,350.24222,427.21928,418,144396,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2001 - 03,484.21459,449.86585,520.43637,778,218931,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2001 - 03,329.98271,302.40453,359.36638,546,216437,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2001 - 03,405.71561,383.67657,428.66957,1324,435368,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2002,510.09483,449.50146,576.40331,271,72896,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2002,335.30262,287.70021,388.4289,183,72026,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2002,420.62349,381.9828,462.04792,454,144922,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2002 - 04,496.90975,462.24835,533.42953,804,220095,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2002 - 04,321.98564,294.96397,350.78481,541,217629,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2002 - 04,407.31197,385.37057,430.15692,1345,437724,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2003,482.67384,424.62825,546.28113,263,73422,Better
