District,MSOA21,MSOACD21,Topic,Indicator,Measure,Source,JSNA Chapter link,Value,Lower CI,Upper CI
Basingstoke and Deane,Basingstoke and Deane 001,E02004675 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7837.0,,
Basingstoke and Deane,Basingstoke and Deane 002,E02004676 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8133.0,,
Basingstoke and Deane,Basingstoke and Deane 003,E02004677 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7568.0,,
Basingstoke and Deane,Basingstoke and Deane 004,E02004678 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7670.0,,
Basingstoke and Deane,Basingstoke and Deane 005,E02004679 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11834.0,,
Basingstoke and Deane,Basingstoke and Deane 006,E02004680 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7677.0,,
Basingstoke and Deane,Basingstoke and Deane 007,E02004681 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,14453.0,,
Basingstoke and Deane,Basingstoke and Deane 008,E02004682 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7993.0,,
Basingstoke and Deane,Basingstoke and Deane 009,E02004683 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8605.0,,
Basingstoke and Deane,Basingstoke and Deane 010,E02004684 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,12146.0,,
